transaction_id,transaction_date,customer_id,account_type,transaction_type,amount,currency,merchant,transaction_status,year,month,month_name,year_month
99999,2022-01-01,2879,Checking,Credit,2508.53,Usd,Target,Completed,2022,1,January,2022-01
99999,2022-12-31,999999,Savings,Debit,3370.71,Usd,Target,Completed,2022,12,December,2022-12
100002,2022-01-01,999999,Savings,Debit,2050.5,Usd,Walmart,Completed,2022,1,January,2022-01
100004,2024-02-09,999999,Checking,Debit,2652.77,Usd,Walmart,Completed,2024,2,February,2024-02
100005,2022-12-31,3078,Checking,Credit,3752.68,Usd,Target,Completed,2022,12,December,2022-12
100006,2022-08-18,999999,Savings,Credit,642.45,Usd,Target,Completed,2022,8,August,2022-08
100006,2022-10-10,3819,Checking,Credit,4623.95,Usd,Unknown,Completed,2022,10,October,2022-10
100008,2023-04-21,999999,Savings,Debit,2071.71,Usd,Amazon,Completed,2023,4,April,2023-04
100009,2022-07-04,999999,Checking,Debit,2071.36,Usd,Walmart,Completed,2022,7,July,2022-07
100008,2024-01-07,2486,Checking,Debit,2004.96,Usd,Amazon,Completed,2024,1,January,2024-01
100011,2022-12-31,999999,Checking,Debit,4837.69,Usd,Walmart,Completed,2022,12,December,2022-12
100011,2022-09-14,999999,Checking,Credit,2645.56,Usd,Unknown,Completed,2022,9,September,2022-09
100012,2022-01-09,2092,Checking,Credit,1347.31,Usd,Target,Completed,2022,1,January,2022-01
100014,2023-08-06,999999,Savings,Debit,1428.14,Usd,Amazon,Completed,2023,8,August,2023-08
100014,2022-08-27,999999,Checking,Credit,732.48,Usd,Target,Completed,2022,8,August,2022-08
100016,2023-11-07,999999,Checking,Debit,1373.31,Usd,Unknown,Completed,2023,11,November,2023-11
100017,2022-02-28,2109,Checking,Debit,1861.38,Usd,Unknown,Completed,2022,2,February,2022-02
100017,2022-01-01,999999,Checking,Credit,3270.95,Usd,Unknown,Completed,2022,1,January,2022-01
100019,2024-03-07,999999,Savings,Debit,2300.3,Usd,Unknown,Completed,2024,3,March,2024-03
100020,2023-12-09,999999,Checking,Debit,344.42,Usd,Walmart,Completed,2023,12,December,2023-12
100020,2023-09-13,999999,Checking,Debit,3114.44,Usd,Amazon,Completed,2023,9,September,2023-09
100021,2022-12-31,999999,Savings,Debit,934.82,Usd,Walmart,Completed,2022,12,December,2022-12
100022,2022-01-01,999999,Savings,Credit,1231.32,Usd,Amazon,Completed,2022,1,January,2022-01
100023,2024-02-04,999999,Credit,Debit,2577.86,Usd,Target,Completed,2024,2,February,2024-02
100024,2022-01-01,999999,Savings,Credit,2335.95,Usd,Target,Completed,2022,1,January,2022-01
100024,2022-12-31,4526,Checking,Debit,458.54,Usd,Unknown,Completed,2022,12,December,2022-12
100027,2022-12-31,999999,Savings,Debit,4623.99,Usd,Walmart,Completed,2022,12,December,2022-12
100025,2023-06-22,999999,Credit,Credit,4544.44,Usd,Walmart,Completed,2023,6,June,2023-06
100029,2023-01-28,2118,Checking,Debit,157.84,Usd,Unknown,Completed,2023,1,January,2023-01
100028,2022-12-31,999999,Checking,Debit,1649.56,Usd,Unknown,Completed,2022,12,December,2022-12
100031,2023-12-20,999999,Checking,Credit,2827.12,Usd,Amazon,Completed,2023,12,December,2023-12
100032,2022-01-01,999999,Checking,Debit,3148.84,Usd,Walmart,Completed,2022,1,January,2022-01
100033,2023-12-16,999999,Savings,Debit,4854.88,Usd,Walmart,Completed,2023,12,December,2023-12
100032,2022-01-29,3065,Savings,Credit,1437.16,Usd,Walmart,Completed,2022,1,January,2022-01
100034,2022-12-31,3411,Checking,Credit,681.85,Usd,Walmart,Completed,2022,12,December,2022-12
100034,2022-01-01,999999,Checking,Credit,3782.64,Usd,Walmart,Completed,2022,1,January,2022-01
100035,2022-01-01,999999,Checking,Credit,1550.31,Usd,Walmart,Completed,2022,1,January,2022-01
100036,2024-01-19,3178,Checking,Debit,3328.06,Usd,Amazon,Completed,2024,1,January,2024-01
100036,2022-01-01,999999,Checking,Debit,4481.94,Usd,Target,Completed,2022,1,January,2022-01
100040,2022-12-31,2054,Checking,Credit,3543.22,Usd,Target,Completed,2022,12,December,2022-12
100041,2022-05-09,999999,Savings,Debit,2075.32,Usd,Amazon,Completed,2022,5,May,2022-05
100039,2023-10-02,4946,Credit,Debit,510.54,Usd,Unknown,Completed,2023,10,October,2023-10
100041,2022-03-14,999999,Checking,Debit,4970.69,Usd,Unknown,Completed,2022,3,March,2022-03
100042,2022-06-04,4929,Checking,Credit,2256.51,Usd,Walmart,Completed,2022,6,June,2022-06
